episode:1,Updates:1/250,Timesteps:400/50000,FPS:223.0,avg_sp:-10.027027027027026,value_loss:1.028047792116801,policy_loss:0.016077019770940146,dist_entropy:1.379249350229899,actor_grad_norm:1.459129810333252,critic_grad_norm:14.587726593017578,ratio:1.001312494277954,average_step_rewards:-5.792500019073486
episode:2,Updates:2/250,Timesteps:600/50000,FPS:185.0,avg_sp:-11.285714285714286,value_loss:0.3137413918972015,policy_loss:-0.028469163303573925,dist_entropy:1.385798422495524,actor_grad_norm:2.108095407485962,critic_grad_norm:2.8670637607574463,ratio:1.0001015663146973,average_step_rewards:-7.577499866485596
episode:3,Updates:3/250,Timesteps:800/50000,FPS:170.0,avg_sp:-8.719626168224298,value_loss:0.34655625422795616,policy_loss:0.08879435211420059,dist_entropy:1.3848889430363973,actor_grad_norm:2.0518314838409424,critic_grad_norm:1.9206465482711792,ratio:0.998112142086029,average_step_rewards:-5.559999942779541
episode:4,Updates:4/250,Timesteps:1000/50000,FPS:163.0,avg_sp:-11.05084745762712,value_loss:0.2720968067646027,policy_loss:0.11552844842274984,dist_entropy:1.3831555445988972,actor_grad_norm:2.6244094371795654,critic_grad_norm:1.9742215871810913,ratio:0.9980411529541016,average_step_rewards:-6.974999904632568
episode:5,Updates:5/250,Timesteps:1200/50000,FPS:158.0,avg_sp:-10.208695652173914,value_loss:0.293265171845754,policy_loss:0.10517071982224782,dist_entropy:1.380235195159912,actor_grad_norm:2.6782329082489014,critic_grad_norm:2.3594653606414795,ratio:1.0002331733703613,average_step_rewards:-6.212500095367432
episode:6,Updates:6/250,Timesteps:1400/50000,FPS:155.0,avg_sp:-9.513274336283185,value_loss:0.2811253805955251,policy_loss:0.07443401515483856,dist_entropy:1.3772666374842326,actor_grad_norm:2.4206836223602295,critic_grad_norm:2.2748684883117676,ratio:1.0003379583358765,average_step_rewards:-6.005000114440918
episode:7,Updates:7/250,Timesteps:1600/50000,FPS:152.0,avg_sp:-10.398305084745763,value_loss:0.297538822889328,policy_loss:0.12758282621701558,dist_entropy:1.3729081551233928,actor_grad_norm:2.6014599800109863,critic_grad_norm:1.638386607170105,ratio:0.999034583568573,average_step_rewards:-6.65749979019165
episode:8,Updates:8/250,Timesteps:1800/50000,FPS:150.0,avg_sp:-8.027522935779816,value_loss:0.2820091386636098,policy_loss:0.11336542864640554,dist_entropy:1.3648053089777628,actor_grad_norm:3.2484254837036133,critic_grad_norm:1.141270399093628,ratio:0.9974679946899414,average_step_rewards:-4.849999904632568
episode:9,Updates:9/250,Timesteps:2000/50000,FPS:149.0,avg_sp:-9.605263157894736,value_loss:0.2799257198969523,policy_loss:0.11773938437302907,dist_entropy:1.3604893763860066,actor_grad_norm:2.271472454071045,critic_grad_norm:1.642712950706482,ratio:0.9996370077133179,average_step_rewards:-5.715000152587891
episode:10,Updates:10/250,Timesteps:2200/50000,FPS:148.0,avg_sp:-8.238532110091743,value_loss:0.21943081816037496,policy_loss:0.08943422188361486,dist_entropy:1.3489661375681559,actor_grad_norm:2.5538864135742188,critic_grad_norm:1.6142406463623047,ratio:0.9976931214332581,average_step_rewards:-5.047500133514404
episode:11,Updates:11/250,Timesteps:2400/50000,FPS:147.0,avg_sp:-6.90566037735849,value_loss:0.2534584601720174,policy_loss:0.12619970093170801,dist_entropy:1.3389159123102823,actor_grad_norm:2.474299192428589,critic_grad_norm:2.523775577545166,ratio:0.9973459243774414,average_step_rewards:-4.010000228881836
