episode:1,Updates:1/50,Timesteps:400/10000,FPS:18.0,avg_sp:-10.131578947368421,value_loss:1.084890075524648,policy_loss:-0.1761417011419932,dist_entropy:1.3776524543762207,actor_grad_norm:1.6179660558700562,critic_grad_norm:17.85352325439453,ratio:1.0103858709335327,average_step_rewards:-5.03249979019165
episode:2,Updates:2/50,Timesteps:600/10000,FPS:14.0,avg_sp:-7.890909090909091,value_loss:0.3461657186349233,policy_loss:-0.002175306373586257,dist_entropy:1.3380015770594278,actor_grad_norm:1.7017029523849487,critic_grad_norm:3.648390531539917,ratio:1.0000971555709839,average_step_rewards:-4.75
episode:3,Updates:3/50,Timesteps:800/10000,FPS:13.0,avg_sp:-6.685714285714286,value_loss:0.20023632446924847,policy_loss:0.13703242788712183,dist_entropy:1.2638957977294922,actor_grad_norm:1.4778780937194824,critic_grad_norm:2.3225810527801514,ratio:0.9635769724845886,average_step_rewards:-4.052499771118164
episode:4,Updates:4/50,Timesteps:1000/10000,FPS:12.0,avg_sp:-5.480769230769231,value_loss:0.1944783329963684,policy_loss:0.0763686940073967,dist_entropy:1.193809445699056,actor_grad_norm:1.3935885429382324,critic_grad_norm:1.7682770490646362,ratio:0.9668906927108765,average_step_rewards:-2.8524999618530273
episode:5,Updates:5/50,Timesteps:1200/10000,FPS:11.0,avg_sp:-4.7745098039215685,value_loss:0.1256774629155795,policy_loss:0.08036648283402124,dist_entropy:1.0944101730982463,actor_grad_norm:1.1415895223617554,critic_grad_norm:0.893441915512085,ratio:0.9908450841903687,average_step_rewards:-2.609999895095825
episode:6,Updates:6/50,Timesteps:1400/10000,FPS:11.0,avg_sp:-4.382352941176471,value_loss:0.14089540938536327,policy_loss:0.08459269106388093,dist_entropy:0.9664819518725077,actor_grad_norm:1.2576887607574463,critic_grad_norm:1.2049680948257446,ratio:0.9694456458091736,average_step_rewards:-2.924999952316284
episode:7,Updates:7/50,Timesteps:1600/10000,FPS:11.0,avg_sp:-3.6633663366336635,value_loss:0.24696685473124186,policy_loss:0.1974819302558899,dist_entropy:0.858091143767039,actor_grad_norm:1.4479795694351196,critic_grad_norm:1.907970905303955,ratio:0.9802994132041931,average_step_rewards:-1.627500057220459
episode:8,Updates:8/50,Timesteps:1800/10000,FPS:11.0,avg_sp:-3.5841584158415842,value_loss:0.05729326233267784,policy_loss:0.002050274662906304,dist_entropy:0.7538911819458007,actor_grad_norm:0.8726064562797546,critic_grad_norm:0.9396114945411682,ratio:1.0097979307174683,average_step_rewards:-1.315000057220459
episode:9,Updates:9/50,Timesteps:2000/10000,FPS:11.0,avg_sp:-3.7,value_loss:0.058226980517307916,policy_loss:-0.0534681295355161,dist_entropy:0.7060065110524495,actor_grad_norm:0.8076518177986145,critic_grad_norm:1.1508800983428955,ratio:1.0113439559936523,average_step_rewards:-1.625
episode:10,Updates:10/50,Timesteps:2200/10000,FPS:11.0,avg_sp:-3.19,value_loss:0.038782489796479545,policy_loss:-0.009877745877020061,dist_entropy:0.6711978157361348,actor_grad_norm:0.7799215912818909,critic_grad_norm:1.2231309413909912,ratio:1.008673071861267,average_step_rewards:-1.5750000476837158
episode:11,Updates:11/50,Timesteps:2400/10000,FPS:10.0,avg_sp:-3.0,value_loss:0.12413916339476903,policy_loss:0.1604392578204473,dist_entropy:0.6632362127304077,actor_grad_norm:1.0130999088287354,critic_grad_norm:1.1261827945709229,ratio:0.9856794476509094,average_step_rewards:-2.0250000953674316
