episode:1,Updates:1/50,Timesteps:400/10000,FPS:50.0,avg_sp:-9.663716814159292,avg_xp_0_0:nan,avg_xp_0_1:nan,avg_xp_1_0:nan,avg_xp_1_1:nan,avg_xp_2_0:-6.777777777777778,avg_xp_2_1:-6.373831775700935,value_loss:6.509999787807464,policy_loss:-0.025726546351991904,dist_entropy:5.518098012606303,actor_grad_norm:1.0364792307217916,critic_grad_norm:41.77560046116511,ratio:4.02568496465683,best_i:2,average_step_rewards:-5.460000038146973
episode:2,Updates:2/50,Timesteps:600/10000,FPS:55.0,avg_sp:-8.814159292035399,avg_xp_0_0:nan,avg_xp_0_1:nan,avg_xp_1_0:nan,avg_xp_1_1:nan,avg_xp_2_0:-6.327102803738318,avg_xp_2_1:-6.745454545454545,value_loss:2.6913273771603903,policy_loss:-0.017245234845827007,dist_entropy:5.429274710019429,actor_grad_norm:1.1734724005063375,critic_grad_norm:13.47841736872991,ratio:3.99203782081604,best_i:2,average_step_rewards:-4.989999771118164
episode:3,Updates:3/50,Timesteps:800/10000,FPS:46.0,avg_sp:-6.962962962962963,avg_xp_0_0:-4.718446601941747,avg_xp_0_1:-4.605769230769231,avg_xp_1_0:-5.457142857142857,avg_xp_1_1:-4.41747572815534,avg_xp_2_0:-4.796116504854369,avg_xp_2_1:-5.6,value_loss:1.8733081996440888,policy_loss:-0.02394445295977251,dist_entropy:5.234463016192119,actor_grad_norm:1.4297102212905883,critic_grad_norm:12.76764356692632,ratio:3.988873779773712,best_i:2,average_step_rewards:-3.759999990463257
episode:4,Updates:4/50,Timesteps:1000/10000,FPS:50.0,avg_sp:-6.10377358490566,avg_xp_0_0:-3.57,avg_xp_0_1:-4.313725490196078,avg_xp_1_0:nan,avg_xp_1_1:nan,avg_xp_2_0:nan,avg_xp_2_1:nan,value_loss:2.294404654701551,policy_loss:-0.030392891188229746,dist_entropy:4.937420002619425,actor_grad_norm:1.454819671312968,critic_grad_norm:29.488312073548634,ratio:3.995619455973307,best_i:0,average_step_rewards:-3.234999895095825
episode:5,Updates:5/50,Timesteps:1200/10000,FPS:53.0,avg_sp:-5.029126213592233,avg_xp_0_0:-4.107843137254902,avg_xp_0_1:-3.5346534653465347,avg_xp_1_0:nan,avg_xp_1_1:nan,avg_xp_2_0:nan,avg_xp_2_1:nan,value_loss:0.9606382166345914,policy_loss:-0.02526469510619057,dist_entropy:4.624483036994934,actor_grad_norm:1.0746196190516153,critic_grad_norm:6.307743191719055,ratio:4.002284967899323,best_i:0,average_step_rewards:-2.609999895095825
episode:6,Updates:6/50,Timesteps:1400/10000,FPS:49.0,avg_sp:-4.470588235294118,avg_xp_0_0:-3.0594059405940595,avg_xp_0_1:-3.1386138613861387,avg_xp_1_0:-4.165048543689321,avg_xp_1_1:-4.099009900990099,avg_xp_2_0:-3.26,avg_xp_2_1:-3.24,value_loss:0.7416402560969194,policy_loss:-0.02679490344546503,dist_entropy:4.451073066393534,actor_grad_norm:0.9439217209815979,critic_grad_norm:6.662043171127637,ratio:3.975523090362549,best_i:0,average_step_rewards:-2.2950000762939453
episode:7,Updates:7/50,Timesteps:1600/10000,FPS:52.0,avg_sp:-3.6435643564356437,avg_xp_0_0:-3.0693069306930694,avg_xp_0_1:-3.1,avg_xp_1_0:nan,avg_xp_1_1:nan,avg_xp_2_0:nan,avg_xp_2_1:nan,value_loss:0.4705677003910144,policy_loss:-0.029794262666585115,dist_entropy:4.349304564793905,actor_grad_norm:0.9685240705808004,critic_grad_norm:5.0502797563870745,ratio:3.983165363470713,best_i:0,average_step_rewards:-1.840000033378601
episode:8,Updates:8/50,Timesteps:1800/10000,FPS:53.0,avg_sp:-3.63,avg_xp_0_0:-2.92,avg_xp_0_1:-3.207920792079208,avg_xp_1_0:nan,avg_xp_1_1:nan,avg_xp_2_0:nan,avg_xp_2_1:nan,value_loss:0.5342811331152916,policy_loss:-0.02683945616982725,dist_entropy:4.092020058631897,actor_grad_norm:0.8404824137687683,critic_grad_norm:3.5681838085254034,ratio:3.9969092925389607,best_i:0,average_step_rewards:-1.815000057220459
episode:9,Updates:9/50,Timesteps:2000/10000,FPS:50.0,avg_sp:-2.87,avg_xp_0_0:-2.68,avg_xp_0_1:-2.900990099009901,avg_xp_1_0:-3.28,avg_xp_1_1:-3.1584158415841586,avg_xp_2_0:-3.12,avg_xp_2_1:-3.05,value_loss:0.3873050883412361,policy_loss:-0.029631445654221666,dist_entropy:3.783465246359507,actor_grad_norm:0.9981501897176107,critic_grad_norm:3.4975844800472258,ratio:4.00295029481252,best_i:0,average_step_rewards:-1.434999942779541
episode:10,Updates:10/50,Timesteps:2200/10000,FPS:51.0,avg_sp:-3.257425742574257,avg_xp_0_0:-3.128712871287129,avg_xp_0_1:-3.3333333333333335,avg_xp_1_0:nan,avg_xp_1_1:nan,avg_xp_2_0:nan,avg_xp_2_1:nan,value_loss:0.3212193887680769,policy_loss:-0.0241860525889981,dist_entropy:3.6156426548957823,actor_grad_norm:0.7401678343613942,critic_grad_norm:4.281238739689191,ratio:4.01450363000234,best_i:0,average_step_rewards:-1.649999976158142
episode:11,Updates:11/50,Timesteps:2400/10000,FPS:52.0,avg_sp:-2.48,avg_xp_0_0:-2.93,avg_xp_0_1:-2.58,avg_xp_1_0:nan,avg_xp_1_1:nan,avg_xp_2_0:nan,avg_xp_2_1:nan,value_loss:0.5492790305366119,policy_loss:-0.022124732090160304,dist_entropy:3.2933591485023497,actor_grad_norm:0.8158239563306172,critic_grad_norm:5.504329733053843,ratio:3.9914486169815064,best_i:0,average_step_rewards:-1.2400000095367432
