episode:1,Updates:1/50,Timesteps:400/10000,FPS:396.0,avg_score:-6.041817851959362,avg_xp0:-5.9326923076923075,avg_xp1:-6.150943396226415,value_loss:1.7308199107646942,policy_loss:-0.11741206081933342,dist_entropy:2.7468926588694256,actor_grad_norm:3.400961422920227,critic_grad_norm:22.399838264783224,ratio:2.0060423016548157
episode:2,Updates:2/50,Timesteps:600/10000,FPS:351.0,avg_score:-3.8235294117647056,avg_xp0:-3.8529411764705883,avg_xp1:-3.7941176470588234,value_loss:0.6624278684457143,policy_loss:-0.16245684288442136,dist_entropy:2.6006993850072226,actor_grad_norm:3.568451460202535,critic_grad_norm:3.4484052379926045,ratio:1.987987232208252
episode:3,Updates:3/50,Timesteps:800/10000,FPS:334.0,avg_score:-3.4152941176470586,avg_xp0:-3.9705882352941178,avg_xp1:-2.86,value_loss:0.36114884714285533,policy_loss:-0.1281620994520684,dist_entropy:2.3269735177357993,actor_grad_norm:2.8257949789365133,critic_grad_norm:3.0743950406710305,ratio:2.027144463857015
episode:4,Updates:4/50,Timesteps:1000/10000,FPS:325.0,avg_score:-3.53130460104834,avg_xp0:-3.676470588235294,avg_xp1:-3.386138613861386,value_loss:0.2834582604467869,policy_loss:-0.13232632192472618,dist_entropy:2.1085588773091635,actor_grad_norm:2.046849620342255,critic_grad_norm:2.7769948403040567,ratio:1.9873871525128683
episode:5,Updates:5/50,Timesteps:1200/10000,FPS:318.0,avg_score:-2.58,avg_xp0:-2.87,avg_xp1:-2.29,value_loss:0.38957640528678894,policy_loss:-0.08323570910530785,dist_entropy:1.8615697503089905,actor_grad_norm:2.478081544240316,critic_grad_norm:2.18747060696284,ratio:1.9940920352935791
episode:6,Updates:6/50,Timesteps:1400/10000,FPS:314.0,avg_score:-2.6157425742574256,avg_xp0:-2.38,avg_xp1:-2.8514851485148514,value_loss:0.10264985809723536,policy_loss:-0.07305825880418221,dist_entropy:1.7563231984774272,actor_grad_norm:2.0325847625732423,critic_grad_norm:2.0347032884756726,ratio:1.9719842354456583
episode:7,Updates:7/50,Timesteps:1600/10000,FPS:311.0,avg_score:-2.467821782178218,avg_xp0:-2.5,avg_xp1:-2.4356435643564356,value_loss:0.22254029860099156,policy_loss:-0.06393188509779672,dist_entropy:1.6500266234079997,actor_grad_norm:1.8752662539482117,critic_grad_norm:1.4209833522637685,ratio:1.9859495123227437
episode:8,Updates:8/50,Timesteps:1800/10000,FPS:308.0,avg_score:-2.24,avg_xp0:-2.38,avg_xp1:-2.1,value_loss:0.22638972600301108,policy_loss:-0.035687831866865354,dist_entropy:1.4911306103070576,actor_grad_norm:1.8024274706840515,critic_grad_norm:1.597689700126648,ratio:2.004157801469167
episode:9,Updates:9/50,Timesteps:2000/10000,FPS:307.0,avg_score:-2.175,avg_xp0:-2.28,avg_xp1:-2.07,value_loss:0.12469975054264068,policy_loss:-0.048686670356740555,dist_entropy:1.3537853479385376,actor_grad_norm:1.470284895102183,critic_grad_norm:1.8293512960275014,ratio:1.990081044038137
episode:10,Updates:10/50,Timesteps:2200/10000,FPS:305.0,avg_score:-2.2086138613861386,avg_xp0:-2.277227722772277,avg_xp1:-2.14,value_loss:0.15363510474562644,policy_loss:-0.04630888595323389,dist_entropy:1.2682841261227926,actor_grad_norm:1.6444849689801535,critic_grad_norm:2.1348753333091737,ratio:1.9863723993301392
episode:11,Updates:11/50,Timesteps:2400/10000,FPS:304.0,avg_score:-2.185,avg_xp0:-2.19,avg_xp1:-2.18,value_loss:0.263077101111412,policy_loss:-0.014662642101757228,dist_entropy:1.2201114575068155,actor_grad_norm:1.2461403568585714,critic_grad_norm:1.6691943526268005,ratio:1.9931573073069255
