episode:1,Updates:1/50,Timesteps:400/10000,FPS:88.0,avg_sp:0.36363636363636365,value_loss:0.8737926681836446,policy_loss:-0.007638586738146813,dist_entropy:0.6922022183736165,actor_grad_norm:1.7716368436813354,critic_grad_norm:3.891645908355713,ratio:1.0014861822128296,average_step_rewards:0.11999999731779099
episode:2,Updates:2/50,Timesteps:600/10000,FPS:70.0,avg_sp:0.3333333333333333,value_loss:0.7763039906819661,policy_loss:-0.005299947700618427,dist_entropy:0.6882116476694743,actor_grad_norm:1.359559178352356,critic_grad_norm:3.7233076095581055,ratio:1.0005593299865723,average_step_rewards:0.10999999940395355
episode:3,Updates:3/50,Timesteps:800/10000,FPS:64.0,avg_sp:0.5454545454545454,value_loss:0.5384168903032939,policy_loss:-0.006060917452753826,dist_entropy:0.6803447286287944,actor_grad_norm:1.527944564819336,critic_grad_norm:2.550234317779541,ratio:0.9990270137786865,average_step_rewards:0.18000000715255737
episode:4,Updates:4/50,Timesteps:1000/10000,FPS:61.0,avg_sp:0.3939393939393939,value_loss:0.6209978977839152,policy_loss:-0.009535621527892854,dist_entropy:0.664819312095642,actor_grad_norm:1.7004863023757935,critic_grad_norm:4.27129602432251,ratio:1.0003215074539185,average_step_rewards:0.12999999523162842
episode:5,Updates:5/50,Timesteps:1200/10000,FPS:58.0,avg_sp:0.5909090909090909,value_loss:0.5596194783846538,policy_loss:-0.008631555084449556,dist_entropy:0.6395805319150288,actor_grad_norm:1.4303852319717407,critic_grad_norm:1.7240077257156372,ratio:0.9956796765327454,average_step_rewards:0.19499999284744263
episode:6,Updates:6/50,Timesteps:1400/10000,FPS:57.0,avg_sp:0.6363636363636364,value_loss:0.5299777746200561,policy_loss:-0.008499038360081574,dist_entropy:0.612922469774882,actor_grad_norm:1.4430559873580933,critic_grad_norm:3.1682324409484863,ratio:0.9982087016105652,average_step_rewards:0.20999999344348907
episode:7,Updates:7/50,Timesteps:1600/10000,FPS:56.0,avg_sp:0.5303030303030303,value_loss:0.46144198973973594,policy_loss:-0.004742971844350293,dist_entropy:0.5819515029589335,actor_grad_norm:1.0662904977798462,critic_grad_norm:2.2862677574157715,ratio:0.9989850521087646,average_step_rewards:0.17499999701976776
episode:8,Updates:8/50,Timesteps:1800/10000,FPS:55.0,avg_sp:0.7121212121212122,value_loss:0.26215517123540244,policy_loss:-0.011838548492329792,dist_entropy:0.5622298041979472,actor_grad_norm:1.8452457189559937,critic_grad_norm:2.149036407470703,ratio:0.9992634654045105,average_step_rewards:0.23499999940395355
episode:9,Updates:9/50,Timesteps:2000/10000,FPS:54.0,avg_sp:0.7727272727272727,value_loss:0.2141286422808965,policy_loss:-0.014918427091402306,dist_entropy:0.5339887181917826,actor_grad_norm:2.309654712677002,critic_grad_norm:2.2241883277893066,ratio:1.003746509552002,average_step_rewards:0.2549999952316284
episode:10,Updates:10/50,Timesteps:2200/10000,FPS:54.0,avg_sp:0.7272727272727273,value_loss:0.3046382248401642,policy_loss:-0.0060401891305422355,dist_entropy:0.4737526039282481,actor_grad_norm:1.565487265586853,critic_grad_norm:2.0223519802093506,ratio:1.0008833408355713,average_step_rewards:0.23999999463558197
episode:11,Updates:11/50,Timesteps:2400/10000,FPS:53.0,avg_sp:0.8787878787878788,value_loss:0.22785667876402538,policy_loss:-0.008996126638104467,dist_entropy:0.42107025186220803,actor_grad_norm:1.795996904373169,critic_grad_norm:1.7311912775039673,ratio:0.9993053674697876,average_step_rewards:0.28999999165534973
episode:12,Updates:12/50,Timesteps:2600/10000,FPS:53.0,avg_sp:0.8939393939393939,value_loss:0.1154137392838796,policy_loss:-0.010883366351326392,dist_entropy:0.37888694802920025,actor_grad_norm:1.6776434183120728,critic_grad_norm:1.511118769645691,ratio:0.9993024468421936,average_step_rewards:0.29499998688697815
episode:13,Updates:13/50,Timesteps:2800/10000,FPS:53.0,avg_sp:0.9545454545454546,value_loss:0.09651651531457901,policy_loss:-0.009240318668695836,dist_entropy:0.34023146430651346,actor_grad_norm:1.9201747179031372,critic_grad_norm:0.8955411314964294,ratio:0.9999340176582336,average_step_rewards:0.3149999976158142
episode:14,Updates:14/50,Timesteps:3000/10000,FPS:52.0,avg_sp:0.9393939393939394,value_loss:0.022597682724396388,policy_loss:-0.007211507328475501,dist_entropy:0.301073016722997,actor_grad_norm:1.7000352144241333,critic_grad_norm:0.7723472118377686,ratio:1.0030851364135742,average_step_rewards:0.3100000023841858
episode:15,Updates:15/50,Timesteps:3200/10000,FPS:52.0,avg_sp:0.9393939393939394,value_loss:0.04292752395073573,policy_loss:-0.0072292785909958465,dist_entropy:0.2674358020226161,actor_grad_norm:1.6090798377990723,critic_grad_norm:0.398002028465271,ratio:1.0017244815826416,average_step_rewards:0.3100000023841858
episode:16,Updates:16/50,Timesteps:3400/10000,FPS:52.0,avg_sp:0.9848484848484849,value_loss:0.07958588500817616,policy_loss:-0.005011047238794457,dist_entropy:0.23166393339633942,actor_grad_norm:1.4479138851165771,critic_grad_norm:0.640289843082428,ratio:1.0006308555603027,average_step_rewards:0.32499998807907104
episode:17,Updates:17/50,Timesteps:3600/10000,FPS:51.0,avg_sp:1.0,value_loss:0.014988647898038228,policy_loss:-0.0020609757339116186,dist_entropy:0.21325659453868867,actor_grad_norm:0.8245255947113037,critic_grad_norm:0.5730676651000977,ratio:0.998751699924469,average_step_rewards:0.33000001311302185
episode:18,Updates:18/50,Timesteps:3800/10000,FPS:51.0,avg_sp:0.9393939393939394,value_loss:0.003209629530707995,policy_loss:-0.00344242818412989,dist_entropy:0.2224970946709315,actor_grad_norm:1.3827919960021973,critic_grad_norm:0.4705048203468323,ratio:1.0015759468078613,average_step_rewards:0.3100000023841858
episode:19,Updates:19/50,Timesteps:4000/10000,FPS:51.0,avg_sp:0.9242424242424242,value_loss:0.11239240219195684,policy_loss:-0.007429308671368536,dist_entropy:0.23440306782722473,actor_grad_norm:1.3059463500976562,critic_grad_norm:1.1798747777938843,ratio:0.9920129776000977,average_step_rewards:0.3050000071525574
