episode:1,Updates:1/50,Timesteps:400/10000,FPS:89.0,avg_sp:0.3333333333333333,value_loss:0.8738805015881856,policy_loss:-0.007323462107218859,dist_entropy:0.6925121029218038,actor_grad_norm:1.7584766149520874,critic_grad_norm:3.9369378089904785,ratio:1.000781536102295,average_step_rewards:0.10999999940395355
episode:2,Updates:2/50,Timesteps:600/10000,FPS:71.0,avg_sp:0.5,value_loss:0.6069533824920654,policy_loss:-0.006415542501645769,dist_entropy:0.6877874175707499,actor_grad_norm:1.5404249429702759,critic_grad_norm:3.850593090057373,ratio:0.999927282333374,average_step_rewards:0.16500000655651093
episode:3,Updates:3/50,Timesteps:800/10000,FPS:64.0,avg_sp:0.5454545454545454,value_loss:0.47226218978563944,policy_loss:-0.007428574508676947,dist_entropy:0.677499016125997,actor_grad_norm:1.6457165479660034,critic_grad_norm:3.359708309173584,ratio:1.0033973455429077,average_step_rewards:0.18000000715255737
episode:4,Updates:4/50,Timesteps:1000/10000,FPS:61.0,avg_sp:0.6212121212121212,value_loss:0.5128853420416514,policy_loss:-0.008143252860754716,dist_entropy:0.6605326414108277,actor_grad_norm:1.6509214639663696,critic_grad_norm:2.138923168182373,ratio:1.001227855682373,average_step_rewards:0.20499999821186066
episode:5,Updates:5/50,Timesteps:1200/10000,FPS:58.0,avg_sp:0.7121212121212122,value_loss:0.4322131852308909,policy_loss:-0.00754247318301351,dist_entropy:0.6384552399317424,actor_grad_norm:1.5082221031188965,critic_grad_norm:1.8848592042922974,ratio:1.0020335912704468,average_step_rewards:0.23499999940395355
episode:6,Updates:6/50,Timesteps:1400/10000,FPS:57.0,avg_sp:0.6363636363636364,value_loss:0.31182262698809304,policy_loss:-0.009532055433529151,dist_entropy:0.6119024435679118,actor_grad_norm:1.8410381078720093,critic_grad_norm:1.2654786109924316,ratio:1.0026355981826782,average_step_rewards:0.20999999344348907
episode:7,Updates:7/50,Timesteps:1600/10000,FPS:56.0,avg_sp:0.6818181818181818,value_loss:0.3290525615215302,policy_loss:-0.006822449772308273,dist_entropy:0.5648556470870971,actor_grad_norm:1.5409438610076904,critic_grad_norm:1.4089239835739136,ratio:1.0008906126022339,average_step_rewards:0.22499999403953552
episode:8,Updates:8/50,Timesteps:1800/10000,FPS:55.0,avg_sp:0.8484848484848485,value_loss:0.2008559872706731,policy_loss:-0.010773351498569046,dist_entropy:0.5150970856348673,actor_grad_norm:2.157121419906616,critic_grad_norm:1.2893489599227905,ratio:1.002545714378357,average_step_rewards:0.2800000011920929
episode:9,Updates:9/50,Timesteps:2000/10000,FPS:55.0,avg_sp:0.8787878787878788,value_loss:0.1445796807607015,policy_loss:-0.011146781803419199,dist_entropy:0.4584332287311554,actor_grad_norm:1.9398109912872314,critic_grad_norm:2.1821377277374268,ratio:1.0021474361419678,average_step_rewards:0.28999999165534973
episode:10,Updates:10/50,Timesteps:2200/10000,FPS:54.0,avg_sp:0.8181818181818182,value_loss:0.09466879069805145,policy_loss:-0.011369450160923092,dist_entropy:0.40112931927045187,actor_grad_norm:2.1588218212127686,critic_grad_norm:1.5391041040420532,ratio:1.001936912536621,average_step_rewards:0.27000001072883606
episode:11,Updates:11/50,Timesteps:2400/10000,FPS:53.0,avg_sp:0.8484848484848485,value_loss:0.17067430019378663,policy_loss:-0.01207234464678919,dist_entropy:0.334745587905248,actor_grad_norm:2.1207435131073,critic_grad_norm:1.590812087059021,ratio:0.9992809295654297,average_step_rewards:0.2800000011920929
